A,Z,N,2t,2j,n,energy,error
23,10,13,3.0,5.0,1.0,-62.7896,0.0
23,10,13,3.0,1.0,1.0,-61.72475,0.0
23,10,13,3.0,7.0,1.0,-60.98058,0.0
23,10,13,3.0,3.0,1.0,-60.91502,0.0
23,10,13,3.0,5.0,2.0,-60.46013,0.0
23,10,13,3.0,9.0,1.0,-60.30648,0.0
23,10,13,3.0,3.0,2.0,-59.46013,0.0
23,10,13,3.0,1.0,2.0,-59.28189,0.0
23,10,13,3.0,5.0,3.0,-59.06748,0.0
23,10,13,3.0,7.0,2.0,-59.014,0.0
23,10,13,3.0,11.0,1.0,-59.00113,0.0
23,10,13,3.0,3.0,3.0,-58.95432,0.0
23,10,13,3.0,9.0,2.0,-58.58133,0.0
23,10,13,3.0,7.0,3.0,-58.43141,0.0
23,10,13,3.0,9.0,3.0,-58.25174,0.0
23,10,13,3.0,5.0,4.0,-57.81592,0.0
23,10,13,3.0,3.0,4.0,-57.812,0.0
23,10,13,3.0,1.0,3.0,-57.64029,0.0
23,10,13,3.0,5.0,5.0,-57.26776,0.0
23,10,13,3.0,7.0,4.0,-57.19424,0.0
23,10,13,3.0,3.0,5.0,-57.13394,0.0
23,10,13,3.0,7.0,5.0,-56.99815,0.0
23,10,13,3.0,1.0,4.0,-56.88402,0.0
23,10,13,3.0,13.0,1.0,-56.87949,0.0
23,10,13,3.0,5.0,6.0,-56.83749,0.0
23,10,13,3.0,9.0,4.0,-56.74989,0.0
23,10,13,3.0,11.0,2.0,-56.66299,0.0
23,10,13,3.0,3.0,6.0,-56.57146,0.0
23,10,13,3.0,7.0,6.0,-56.55051,0.0
23,10,13,3.0,9.0,5.0,-56.3643,0.0
23,10,13,3.0,9.0,6.0,-56.28661,0.0
23,10,13,3.0,5.0,7.0,-56.27363,0.0
23,10,13,3.0,3.0,7.0,-56.12727,0.0
23,10,13,3.0,7.0,7.0,-56.11758,0.0
23,10,13,3.0,11.0,3.0,-56.11649,0.0
23,10,13,3.0,5.0,8.0,-56.02048,0.0
23,10,13,3.0,3.0,8.0,-55.82982,0.0
23,10,13,3.0,11.0,4.0,-55.71488,0.0
23,10,13,3.0,13.0,2.0,-55.63415,0.0
23,10,13,3.0,7.0,8.0,-55.63315,0.0
23,10,13,3.0,3.0,9.0,-55.62455,0.0
23,10,13,3.0,5.0,9.0,-55.5945,0.0
23,10,13,3.0,9.0,7.0,-55.57176,0.0
23,10,13,3.0,1.0,5.0,-55.51668,0.0
23,10,13,3.0,9.0,8.0,-55.38525,0.0
23,10,13,3.0,5.0,10.0,-55.35496,0.0
23,10,13,3.0,3.0,10.0,-55.1644,0.0
23,10,13,3.0,5.0,11.0,-55.15751,0.0
23,10,13,3.0,7.0,9.0,-55.07527,0.0
