A,Z,N,2t,2j,n,energy,error
21,10,11,1.0,3.0,1.0,-47.23316,0.0
21,10,11,1.0,5.0,1.0,-46.96708,0.0
21,10,11,1.0,7.0,1.0,-45.47645,0.0
21,10,11,1.0,9.0,1.0,-44.40227,0.0
21,10,11,1.0,1.0,1.0,-44.37409,0.0
21,10,11,1.0,5.0,2.0,-43.51474,0.0
21,10,11,1.0,11.0,1.0,-42.85506,0.0
21,10,11,1.0,5.0,3.0,-42.60583,0.0
21,10,11,1.0,3.0,2.0,-42.31969,0.0
21,10,11,1.0,7.0,2.0,-41.84007,0.0
21,10,11,1.0,3.0,3.0,-41.70478,0.0
21,10,11,1.0,1.0,2.0,-41.27092,0.0
21,10,11,1.0,9.0,2.0,-41.1176,0.0
21,10,11,1.0,7.0,3.0,-41.06466,0.0
21,10,11,1.0,13.0,1.0,-40.98817,0.0
21,10,11,1.0,9.0,3.0,-40.9779,0.0
21,10,11,1.0,3.0,4.0,-40.49376,0.0
21,10,11,1.0,1.0,3.0,-40.16329,0.0
21,10,11,1.0,7.0,4.0,-40.15742,0.0
21,10,11,1.0,5.0,4.0,-39.94786,0.0
21,10,11,1.0,7.0,5.0,-39.90878,0.0
21,10,11,1.0,9.0,4.0,-39.4379,0.0
21,10,11,1.0,3.0,5.0,-39.38831,0.0
21,10,11,1.0,5.0,5.0,-39.32461,0.0
21,10,11,1.0,11.0,2.0,-39.29823,0.0
21,10,11,1.0,5.0,6.0,-39.08047,0.0
21,10,11,3.0,5.0,1.0,-38.53521,0.0
21,10,11,1.0,3.0,6.0,-38.48721,0.0
21,10,11,1.0,5.0,7.0,-38.44342,0.0
21,10,11,1.0,3.0,7.0,-38.29079,0.0
21,10,11,1.0,9.0,5.0,-38.26033,0.0
21,10,11,3.0,1.0,1.0,-38.22041,0.0
21,10,11,1.0,7.0,6.0,-38.12347,0.0
21,10,11,1.0,7.0,7.0,-38.09383,0.0
21,10,11,1.0,1.0,4.0,-38.08805,0.0
21,10,11,1.0,13.0,2.0,-37.99966,0.0
21,10,11,1.0,5.0,8.0,-37.9135,0.0
21,10,11,1.0,11.0,3.0,-37.89931,0.0
21,10,11,1.0,17.0,1.0,-37.63793,0.0
21,10,11,1.0,9.0,6.0,-37.63005,0.0
21,10,11,1.0,3.0,8.0,-37.57614,0.0
21,10,11,1.0,1.0,5.0,-37.39903,0.0
21,10,11,1.0,7.0,8.0,-37.36232,0.0
21,10,11,1.0,5.0,9.0,-37.34483,0.0
21,10,11,1.0,15.0,1.0,-37.33905,0.0
21,10,11,1.0,11.0,4.0,-37.20967,0.0
21,10,11,1.0,7.0,9.0,-37.05703,0.0
21,10,11,1.0,13.0,3.0,-37.05483,0.0
21,10,11,1.0,11.0,5.0,-36.98648,0.0
21,10,11,1.0,5.0,10.0,-36.94025,0.0
21,10,11,1.0,9.0,7.0,-36.88811,0.0
21,10,11,1.0,3.0,9.0,-36.8677,0.0
21,10,11,1.0,1.0,6.0,-36.81324,0.0
21,10,11,3.0,9.0,1.0,-36.78511,0.0
21,10,11,1.0,11.0,6.0,-36.76333,0.0
21,10,11,3.0,3.0,1.0,-36.73139,0.0
21,10,11,1.0,1.0,7.0,-36.6438,0.0
21,10,11,1.0,7.0,10.0,-36.58545,0.0
21,10,11,1.0,5.0,11.0,-36.56133,0.0
21,10,11,1.0,9.0,8.0,-36.37613,0.0
21,10,11,1.0,13.0,4.0,-36.32196,0.0
21,10,11,1.0,3.0,10.0,-36.13824,0.0
21,10,11,1.0,7.0,11.0,-36.07169,0.0
21,10,11,1.0,5.0,12.0,-36.01647,0.0
21,10,11,1.0,5.0,13.0,-35.83899,0.0
21,10,11,1.0,15.0,2.0,-35.82795,0.0
21,10,11,1.0,9.0,9.0,-35.67153,0.0
21,10,11,1.0,7.0,12.0,-35.62319,0.0
21,10,11,1.0,5.0,14.0,-35.58067,0.0
21,10,11,1.0,9.0,10.0,-35.47701,0.0
21,10,11,1.0,11.0,7.0,-35.42818,0.0
21,10,11,1.0,7.0,13.0,-35.38437,0.0
21,10,11,1.0,9.0,11.0,-35.27719,0.0
21,10,11,1.0,3.0,11.0,-35.23248,0.0
21,10,11,1.0,7.0,14.0,-35.23156,0.0
21,10,11,1.0,15.0,3.0,-35.21384,0.0
21,10,11,1.0,11.0,8.0,-35.0587,0.0
21,10,11,3.0,5.0,2.0,-35.0364,0.0
21,10,11,3.0,9.0,2.0,-35.00394,0.0
21,10,11,3.0,3.0,2.0,-34.97368,0.0
21,10,11,3.0,7.0,1.0,-34.94726,0.0
21,10,11,1.0,7.0,15.0,-34.94214,0.0
21,10,11,1.0,5.0,15.0,-34.87934,0.0
21,10,11,1.0,11.0,9.0,-34.87839,0.0
21,10,11,1.0,9.0,12.0,-34.81797,0.0
21,10,11,1.0,3.0,12.0,-34.76447,0.0
21,10,11,1.0,13.0,5.0,-34.66757,0.0
21,10,11,1.0,3.0,13.0,-34.64697,0.0
21,10,11,1.0,7.0,16.0,-34.58986,0.0
21,10,11,1.0,5.0,16.0,-34.54771,0.0
21,10,11,3.0,1.0,2.0,-34.52044,0.0
21,10,11,1.0,9.0,13.0,-34.50286,0.0
21,10,11,1.0,5.0,17.0,-34.46314,0.0
21,10,11,1.0,17.0,2.0,-34.34669,0.0
21,10,11,3.0,5.0,3.0,-34.33582,0.0
21,10,11,1.0,9.0,14.0,-34.321,0.0
21,10,11,1.0,11.0,10.0,-34.28267,0.0
21,10,11,1.0,13.0,6.0,-34.26567,0.0
21,10,11,1.0,3.0,14.0,-34.12825,0.0
21,10,11,3.0,3.0,3.0,-34.12531,0.0
