A,Z,N,2t,2j,n,energy,error
35,17,18,1,3,4,4.624,0.001
35,17,18,1,5,3,4.700,2.001
35,17,18,1,1,3,4.720,0.001
35,17,18,1,5,4,5.480,2.001
35,17,18,1,5,5,5.590,2.001
35,17,18,1,5,6,6.030,2.001
35,17,18,1,1,4,6.630,2.001
36,17,19,2,4,1,-223.785,0.010
36,17,19,2,6,1,0.788,0.001
36,17,19,2,2,1,1.165,0.001
36,17,19,2,2,2,1.601,0.001
36,17,19,2,4,2,1.959,0.001
36,17,19,2,4,3,2.492,0.001
36,17,19,2,6,2,2.864,0.001
36,17,19,2,2,3,2.676,0.001
36,17,19,2,0,1,3.120,0.001
36,17,19,2,2,4,3.469,0.001
36,17,19,2,8,1,3.830,0.001
37,17,20,3,3,1,-234.096,0.010
37,17,20,3,1,1,1.726,0.001
37,17,20,3,5,1,3.087,0.001
37,17,20,3,3,2,4.016,0.001
37,17,20,3,5,2,5.800,2.150
36,18,18,0,0,1,-230.409,0.010
36,18,18,0,4,1,1.970,0.014
36,18,18,0,0,2,4.329,0.001
36,18,18,0,4,2,4.440,0.001
36,18,18,0,8,1,4.414,0.001
36,18,18,0,8,2,6.356,0.001
36,18,18,0,6,1,7.140,0.001
37,18,19,1,3,1,-239.197,0.010
37,18,19,1,1,1,1.410,0.001
37,18,19,1,7,1,2.217,0.001
37,18,19,1,5,1,2.796,0.001
37,18,19,1,5,2,3.171,0.001
37,18,19,1,3,2,3.602,0.001
37,18,19,1,7,2,4.624,0.001
37,18,19,1,1,2,4.509,2.001
38,18,20,2,0,1,-251.035,0.010
38,18,20,2,4,1,2.168,0.001
38,18,20,2,4,2,3.937,2.001
38,18,20,2,2,1,5.552,2.001
38,19,19,0,6,1,-251.165,0.010
38,19,19,0,2,1,0.459,0.001
38,19,19,0,2,2,1.698,0.001
38,19,19,0,4,1,3.431,0.001
38,19,19,0,2,3,3.857,0.001
39,19,20,1,3,1,-264.180,0.010
39,19,20,1,1,1,2.522,0.001
39,19,20,1,5,1,7.000,2.014
